Date,Ticker,Open,High,Low,Close,Volume
2020-10-26,STCKA,498.38,503.33,498.35,501.11,1779902
2020-10-27,STCKA,501.54,505.12,498.43,502.85,2274264
2020-10-28,STCKA,507.89,510.28,501.89,502.82,1721465
2020-10-29,STCKA,502.44,502.56,498.83,501.7,4343654
2020-10-30,STCKA,498.51,504.25,494.78,500.35,3403035
2020-11-02,STCKA,512.66,513.48,509.78,512.47,3901605
2020-11-03,STCKA,507.6,511.37,500.38,503.84,3515718
2020-11-04,STCKA,509.1,511.51,498.51,503.36,1427851
2020-11-05,STCKA,510.83,515.28,507.33,512.25,1330153
2020-11-06,STCKA,508.4,511.77,505.56,508.18,1483646
2020-11-09,STCKA,522.78,526.83,518.59,520.93,3184947
2020-11-10,STCKA,524.26,525.74,515.64,519.76,3399787
2020-11-11,STCKA,523.64,527.28,522.15,523.19,155941
2020-11-12,STCKA,519.57,521.24,517.04,520.4,2954832
2020-11-13,STCKA,509.33,514.45,505.17,512.4,2377936
2020-11-16,STCKA,522.42,524.46,518.4,520.6,1056485
2020-11-17,STCKA,513.29,517.48,504.42,508.61,4976965
2020-11-18,STCKA,513.21,518.36,509.79,514.07,3890800
2020-11-19,STCKA,517.14,518.73,516.57,517.96,2504210
2020-11-20,STCKA,507.47,509.36,504.95,507.48,1628597
2020-11-23,STCKA,497.09,504.4,493.2,499.9,3811745
2020-11-24,STCKA,520.28,523.46,514.04,515.71,4075618
2020-11-25,STCKA,515.95,521.34,511.11,517.36,2768479
2020-11-26,STCKA,517.2,521.0,512.25,518.19,1539068
2020-11-27,STCKA,523.96,525.0,518.73,523.07,4827962
2020-11-30,STCKA,519.85,522.64,517.96,519.62,4107864
2020-12-01,STCKA,529.24,529.44,524.81,529.01,4987885
2020-12-02,STCKA,527.88,533.13,524.13,530.0,2790373
2020-12-03,STCKA,524.09,528.58,519.77,525.58,1714455
2020-12-04,STCKA,528.17,530.05,521.55,526.46,4434964
2020-12-07,STCKA,525.65,529.66,523.24,527.42,1992063
2020-12-08,STCKA,528.79,532.81,524.57,528.52,2235893
2020-12-09,STCKA,524.76,530.85,519.7,526.9,4517730
2020-12-10,STCKA,527.47,532.19,524.82,526.17,1848341
2020-12-11,STCKA,538.38,542.61,535.77,540.89,3978365
2020-12-14,STCKA,541.65,544.11,537.3,541.06,4506489
2020-12-15,STCKA,533.12,537.74,529.16,532.9,173243
2020-12-16,STCKA,534.67,536.33,530.5,533.44,3119732
2020-12-17,STCKA,524.02,527.8,521.53,524.03,3586151
2020-12-18,STCKA,525.36,532.0,522.15,526.9,3535655
2020-12-21,STCKA,518.99,523.62,518.93,520.63,4540144
2020-12-22,STCKA,519.95,524.47,515.0,522.83,402686
2020-12-23,STCKA,526.17,530.0,525.77,527.04,3786979
2020-12-24,STCKA,526.68,530.03,522.94,524.35,4191170
2020-12-25,STCKA,530.2,535.2,523.15,526.46,4499151
2020-12-28,STCKA,545.32,546.85,541.25,544.38,4411004
2020-12-29,STCKA,538.86,542.19,538.86,541.91,443686
2020-12-30,STCKA,557.51,561.13,552.51,554.99,1875376
2020-12-31,STCKA,556.5,559.21,548.33,553.85,124849
2021-01-01,STCKA,560.46,564.9,556.79,559.51,2407506
2021-01-04,STCKA,566.76,569.17,562.02,567.76,985945
2021-01-05,STCKA,569.72,574.2,565.64,569.3,768522
2021-01-06,STCKA,563.11,571.58,558.99,568.05,2874273
2021-01-07,STCKA,575.95,580.93,571.37,577.37,4693116
